geoid,county_fips,state_fips,state_name,land_area_sq_miles,water_area_sq_miles,latitude,longitude,total_population,total_pop_by_sex,male_total,female_total,pct_male,pct_female,median_age,under_18,over_65,age_18_to_34,age_25_to_44,age_45_to_64,working_age_pop,pct_under_18,pct_65_over,pct_18_to_34,pct_25_to_44,pct_45_to_64,pct_working_age,total_pop_race,white_alone_not_hispanic,black_alone_not_hispanic,asian_alone_not_hispanic,hispanic_latino_any_race,native_alone_not_hispanic,pacific_islander_not_hispanic,two_or_more_races_not_hispanic,other_race_not_hispanic,pct_white,pct_black,pct_asian,pct_hispanic,pct_native,pct_pacific_islander,pct_two_or_more,diversity_index,median_household_income,per_capita_income,aggregate_household_income,income_households_total,pct_income_under_25k,pct_income_25k_to_50k,pct_income_50k_to_100k,pct_income_over_100k,income_under_10k,income_10k_to_15k,income_15k_to_20k,income_20k_to_25k,income_25k_to_30k,income_30k_to_35k,income_35k_to_40k,income_40k_to_45k,income_45k_to_50k,income_50k_to_60k,income_60k_to_75k,income_75k_to_100k,income_100k_to_125k,income_125k_to_150k,income_150k_to_200k,income_over_200k,pct_below_poverty,tract_poverty_count,tract_poverty_universe,education_index,education_universe_25plus,pct_bachelors_or_higher,pct_high_school_or_higher,no_schooling,high_school_diploma,ged_equivalent,associates_degree,bachelors_degree,bachelors_or_higher,masters_degree,professional_degree,doctorate_degree,unemployment_rate,labor_force_participation,employment_universe,in_labor_force,civilian_labor_force,not_in_labor_force,employed,unemployed,median_home_value,median_gross_rent,affordability_index,gross_rent_yield,pct_owner_occupied,pct_renter_occupied,vacancy_rate,pct_family_households,pct_single_family_detached,total_housing_units,housing_type_universe,occupancy_universe,occupied_units,vacant_units,owner_occupied,renter_occupied,single_family_detached,single_family_attached,units_2,units_10_to_19,mobile_home,mean_commute_time,pct_worked_from_home,pct_drove_alone,pct_public_transit,pct_walked,commute_universe,worked_from_home,drove_alone,public_transit,walked,total_households,family_households,nonfamily_households,has_internet,internet_universe,pct_with_internet,pct_insured,insured_total,uninsured_total,insurance_universe,population_density,household_stability_index,family_orientation_index,economic_strength_index,growth_potential_index,workforce_quality_index,insurance_risk_index,investor_yield_index,county_name,county_short_name,state_abbr,cnt_restaurant_05mi,cnt_retail_05mi,cnt_transit_stop_025mi,cnt_grocery_1mi,den_restaurant_1mi,score_walkability,dist_grocery_nearest,cnt_grocery_3mi,score_grocery_access,dist_clinic_nearest,cnt_clinic_3mi,dist_hospital_nearest,score_healthcare_access,cnt_transit_stop_05mi,dist_transit_station_nearest,score_transit_access,cnt_retail_1mi,den_retail_1mi,score_retail_density,cnt_school_1mi,dist_school_nearest,score_school_access,dist_park_nearest,park_area_sqmi_1mi,cnt_park_1mi,cnt_entertainment_5mi,dist_entertainment_nearest,score_recreation,cnt_worship_1mi,den_worship_1mi,score_religious_density,data_confidence,osm_feature_density,amenity_count_raw
80310002011,31,8,Colorado,0.2879,0.0000,39.7882590,-105.0207830,1429,1429,542,887,37.93,62.07,52.00,32,453,252,573,349,944,2.24,31.70,17.63,40.10,24.42,66.06,1429,759,71,15,511,9,8,56,0,53.11,4.97,1.05,35.76,0.63,0.56,3.92,59.000,48929,43948.00,60776800,860,27.09,23.60,27.91,21.40,91,88,14,40,64,5,114,6,14,87,21,132,40,18,62,64,8.68,332.00,3824.00,47.04,1375,47.42,0.87,1,276,91,37,438,652,127,39,48,3.59,55.76,1397,779,779,618,751,28,472000,1022,3.99,2.60,53.84,46.16,4.12,28.84,60.31,897,897,860,860,37,463,397,541,18,0,0,0,32.20,26.22,53.78,0.00,0.41,740,194,398,0,3,860,248,612,701,860,81.51,85.64,1133,190,1323,4964.35,49.84,7.07,32.00,92.17,43.18,21.16,3.99,Denver County,Denver,CO,17,9,0,1,12.10,64,0.84,21,37,0.72,35,2.39,80,0,1.03,39,54,17.19,80,6,0.24,51,0.31,0.1335,4,65,0.63,86,15,4.77,73,high,50.93,238
80310002012,31,8,Colorado,0.5150,0.0000,39.7871510,-105.0066770,2501,2501,1094,1407,43.74,56.26,33.70,467,213,826,1084,463,1821,18.67,8.52,33.03,43.34,18.51,72.81,2501,983,45,23,1450,0,0,0,0,39.30,1.80,0.92,57.98,0.00,0.00,0.00,51.000,122875,56888.00,143620900,924,2.27,5.19,19.91,72.62,13,0,0,8,19,0,11,0,18,28,76,80,226,56,221,168,8.68,332.00,3824.00,46.95,1760,47.56,0.90,41,400,94,8,538,837,285,0,14,7.04,77.32,2077,1606,1606,471,1493,113,541800,2375,4.31,5.26,78.68,21.32,0.00,66.02,100.00,924,924,924,924,0,727,197,924,0,0,0,0,30.90,24.87,63.44,0.67,0.00,1488,370,944,10,0,924,610,314,862,924,93.29,92.00,2301,200,2501,4855.97,85.36,60.15,81.58,94.02,69.62,60.35,50.77,Denver County,Denver,CO,2,31,6,1,7.00,99,0.14,23,97,0.38,40,2.70,99,15,1.05,100,61,19.42,98,5,0.32,92,0.39,0.0463,5,67,1.29,96,9,2.86,94,high,48.06,247
80310002021,31,8,Colorado,0.1985,0.0000,39.7798440,-105.0024160,687,687,138,549,20.09,79.91,33.70,313,92,38,183,99,282,45.56,13.39,5.53,26.64,14.41,41.05,687,102,85,128,372,0,0,0,0,14.85,12.37,18.63,54.15,0.00,0.00,0.00,63.000,,9989.00,7480300,284,63.03,12.32,24.65,0.00,56,49,0,74,0,0,22,0,13,70,0,0,0,0,0,0,20.73,788.00,3802.00,7.35,374,0.00,0.55,7,40,23,13,0,0,0,0,0,13.19,55.95,420,235,235,185,204,31,,,,,0.00,100.00,13.41,74.65,0.00,328,328,284,284,44,0,284,0,42,70,0,0,18.30,0.00,73.04,4.41,0.00,204,0,149,9,0,284,212,72,284,284,100.00,100.00,687,0,687,3460.39,1.79,47.84,1.37,12.10,3.24,39.64,64.48,Denver County,Denver,CO,2,39,10,2,8.91,84,0.36,22,67,0.16,66,2.61,93,20,0.55,89,74,23.55,85,7,0.29,56,0.27,0.0439,7,70,0.85,85,15,4.77,73,high,65.89,309
80310002022,31,8,Colorado,0.2372,0.0000,39.7799810,-105.0111850,1479,1479,838,641,56.66,43.34,39.50,180,246,383,663,361,1053,12.17,16.63,25.90,44.83,24.41,71.20,1479,817,19,11,553,0,0,79,0,55.24,1.28,0.74,37.39,0.00,0.00,5.34,55.000,91667,79532.00,119394900,788,10.15,23.48,18.78,47.59,35,35,0,10,0,38,20,96,31,45,61,42,35,21,117,202,20.73,788.00,3802.00,56.80,1270,62.76,0.85,47,165,34,12,444,797,236,107,10,10.03,73.82,1310,967,967,343,870,97,630200,1706,4.48,3.25,67.13,32.87,10.86,39.72,79.52,884,884,788,788,96,529,259,703,109,13,0,0,25.30,35.29,57.36,0.80,0.00,870,307,499,7,0,788,313,475,737,788,93.53,95.61,1414,65,1479,6235.86,45.65,17.43,59.57,98.97,68.68,44.09,10.30,Denver County,Denver,CO,9,31,0,3,15.28,69,0.42,21,71,0.12,46,2.23,90,12,0.89,59,88,28.01,88,8,0.24,64,0.21,0.0895,8,69,0.91,89,15,4.77,73,high,77.67,315
80310002023,31,8,Colorado,0.1248,0.0000,39.7784120,-105.0205500,918,918,465,453,50.65,49.35,41.70,114,112,177,413,250,692,12.42,12.20,19.28,44.99,27.23,75.38,918,668,0,11,182,0,0,57,0,72.77,0.00,1.20,19.83,0.00,0.00,6.21,43.000,94919,77614.00,69618400,496,4.23,9.07,37.30,49.40,11,0,0,10,0,0,13,32,0,36,23,126,35,60,52,98,20.73,788.00,3802.00,52.71,775,51.10,0.97,0,82,0,129,238,396,127,18,13,8.64,82.09,804,660,660,144,603,57,694400,1739,4.55,3.01,73.59,26.41,6.42,47.18,69.62,530,530,496,496,34,365,131,369,114,47,0,0,39.90,22.72,51.24,3.65,3.81,603,137,309,22,23,496,234,262,459,496,92.54,97.28,893,25,918,7353.38,61.84,18.88,64.15,91.56,79.65,60.51,10.84,Denver County,Denver,CO,13,16,0,5,21.65,66,0.65,21,74,0.42,43,1.79,87,3,1.31,50,89,28.33,88,8,0.32,62,0.42,0.1330,6,70,0.70,83,16,5.09,75,high,83.72,324
80310002024,31,8,Colorado,0.1289,0.0000,39.7820910,-105.0207030,718,718,294,424,40.95,59.05,31.70,88,35,345,406,103,595,12.26,4.87,48.05,56.55,14.35,82.87,718,597,0,0,112,0,0,9,0,83.15,0.00,0.00,15.60,0.00,0.00,1.25,28.000,157043,87119.00,61208300,335,2.69,11.34,17.31,68.66,9,0,0,0,0,38,0,0,0,8,12,38,20,0,146,64,20.73,788.00,3802.00,71.14,544,85.29,0.97,0,14,0,0,245,464,127,84,8,2.10,89.22,640,571,571,69,559,12,615400,,,,84.78,15.22,0.00,42.39,100.00,335,335,335,335,0,284,51,335,0,0,0,0,44.80,39.36,25.04,25.22,0.00,559,220,140,141,0,335,142,193,326,335,97.31,95.96,689,29,718,5569.82,79.26,33.89,92.55,96.05,95.29,60.51,64.48,Denver County,Denver,CO,18,16,0,4,19.42,68,0.80,20,65,0.52,40,1.99,85,3,1.40,50,89,28.33,88,7,0.33,55,0.53,0.1369,6,70,0.77,80,18,5.73,79,high,78.30,314
80310003011,31,8,Colorado,0.1253,0.0000,39.7729980,-105.0276100,965,965,400,565,41.45,58.55,42.70,184,211,226,275,258,570,19.07,21.87,23.42,28.50,26.74,59.07,965,689,0,0,230,0,0,46,0,71.40,0.00,0.00,23.83,0.00,0.00,4.77,43.000,115952,71621.00,69755500,420,3.33,8.81,24.05,63.81,0,0,0,14,0,37,0,0,0,8,16,77,99,16,38,115,6.87,380.00,5528.00,51.93,744,63.17,0.91,65,16,0,0,267,470,165,38,0,0.00,70.55,781,551,551,230,551,0,664000,,,,75.00,25.00,0.00,61.90,87.38,420,420,420,420,0,315,105,367,53,0,0,0,31.00,34.89,50.19,0.00,0.00,536,187,269,0,0,420,260,160,420,420,100.00,94.92,916,49,965,7702.95,86.86,45.43,93.78,93.78,85.68,70.37,64.48,Denver County,Denver,CO,27,38,0,5,41.06,78,0.44,24,81,0.14,45,1.26,90,4,1.63,51,151,48.06,94,10,0.21,74,0.11,0.1273,7,70,0.27,93,22,7.00,84,high,131.14,462
80310003012,31,8,Colorado,0.1241,0.0000,39.7730920,-105.0322760,680,680,281,399,41.32,58.68,36.10,87,117,154,362,114,476,12.79,17.21,22.65,53.24,16.76,70.00,680,680,0,0,0,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,179926,91821.00,63259900,317,0.00,0.00,3.79,96.21,0,0,0,0,0,0,0,0,0,0,0,12,67,18,126,94,6.87,380.00,5528.00,80.21,593,97.98,1.00,0,0,0,0,316,581,210,27,28,2.27,85.99,614,528,528,86,516,12,919300,1797,8.34,2.35,62.15,37.85,15.01,53.00,54.16,373,373,317,317,56,197,120,202,18,40,101,0,26.10,18.22,68.99,0.00,2.52,516,94,356,0,13,317,168,149,317,317,100.00,91.62,623,57,680,5477.66,68.63,15.78,98.29,99.27,99.30,60.80,15.49,Denver County,Denver,CO,28,33,0,5,35.65,79,0.27,22,85,0.22,44,1.11,90,3,1.88,48,150,47.75,94,7,0.06,64,0.34,0.1481,5,68,0.32,87,21,6.68,83,high,125.10,432
80310003013,31,8,Colorado,0.1553,0.0000,39.7730980,-105.0375420,788,788,443,345,56.22,43.78,37.50,160,131,179,281,216,497,20.30,16.62,22.72,35.66,27.41,63.07,788,642,0,0,146,0,0,0,0,81.47,0.00,0.00,18.53,0.00,0.00,0.00,30.000,135682,86421.00,67069900,420,2.86,0.00,24.29,72.86,12,0,0,0,0,0,0,0,0,17,53,32,90,22,54,140,6.87,380.00,5528.00,73.73,628,83.92,0.98,0,12,26,24,266,527,187,27,47,0.00,95.26,633,603,603,30,603,0,741500,1652,6.84,2.67,86.43,13.57,11.21,40.00,76.53,473,473,420,420,53,363,57,362,38,0,0,0,22.50,36.15,40.13,3.15,17.58,603,218,242,19,106,420,168,252,407,420,96.90,100.00,769,0,769,5073.10,80.61,35.13,99.05,99.57,99.66,93.34,6.98,Denver County,Denver,CO,51,62,0,6,34.06,85,0.22,22,88,0.23,44,0.99,90,3,2.16,47,149,47.43,94,7,0.32,55,0.38,0.2232,7,69,0.41,88,22,7.00,84,high,126.37,430
80310003014,31,8,Colorado,0.1546,0.0000,39.7730210,-105.0433670,1609,1609,679,930,42.20,57.80,37.50,167,270,329,866,306,1172,10.38,16.78,20.45,53.82,19.02,72.84,1609,1355,0,13,194,0,0,47,0,84.21,0.00,0.81,12.06,0.00,0.00,2.92,28.000,119266,109939.00,177380000,949,18.34,11.91,12.86,56.90,15,93,0,66,50,0,0,63,0,0,85,37,79,99,88,274,6.87,380.00,5528.00,61.84,1442,71.29,0.96,0,96,0,0,505,1028,419,35,69,0.00,75.17,1442,1084,1084,358,1084,0,1100100,1534,6.48,1.67,43.52,56.48,4.33,38.36,10.58,992,992,949,949,43,413,536,105,354,3,22,0,23.20,31.64,58.03,2.49,5.44,1084,343,629,27,59,949,364,585,808,949,85.14,96.46,1552,57,1609,10406.37,59.71,5.52,95.07,99.73,97.47,54.49,20.82,Denver County,Denver,CO,51,66,2,5,31.19,91,0.23,21,86,0.29,44,0.94,89,7,2.13,65,139,44.24,93,7,0.20,59,0.07,0.2158,7,66,0.26,96,15,4.77,73,high,120.32,404
80310003015,31,8,Colorado,0.0925,0.0000,39.7747610,-105.0497620,848,848,382,466,45.05,54.95,38.40,245,100,134,223,256,503,28.89,11.79,15.80,26.30,30.19,59.32,848,726,0,12,110,0,0,0,0,85.61,0.00,1.42,12.97,0.00,0.00,0.00,25.000,65028,54835.00,46310200,411,24.57,10.95,29.68,34.79,68,12,21,0,0,30,0,0,15,18,85,19,16,17,51,59,6.87,380.00,5528.00,66.55,579,80.14,1.00,0,85,0,0,321,464,66,77,0,10.02,67.83,603,409,409,194,368,41,844900,2758,1.96,3.92,82.48,17.52,0.00,56.45,67.88,411,411,411,411,0,339,72,279,45,68,0,0,21.30,31.45,56.38,3.56,8.61,337,106,190,12,29,411,232,179,395,411,96.11,97.52,827,21,848,9164.42,80.07,56.18,49.07,98.50,90.25,65.63,12.37,Denver County,Denver,CO,47,65,4,6,21.96,93,0.38,20,84,0.36,38,1.11,87,17,1.99,75,103,32.79,90,6,0.23,51,0.29,0.2128,9,63,0.36,90,16,5.09,75,high,95.49,341
80310003016,31,8,Colorado,0.0920,0.0000,39.7711540,-105.0497750,657,657,375,282,57.08,42.92,38.40,117,20,129,305,200,520,17.81,3.04,19.63,46.42,30.44,79.15,657,534,3,0,85,0,0,35,0,81.28,0.46,0.00,12.94,0.00,0.00,5.33,32.000,183083,96795.00,64303200,289,0.00,0.00,3.46,96.54,0,0,0,0,0,0,0,0,0,0,0,10,52,37,57,133,6.87,380.00,5528.00,71.94,525,87.62,0.99,0,17,0,0,264,460,143,36,17,0.00,75.37,540,407,407,133,407,0,877600,,,,93.08,6.92,4.62,59.52,67.00,303,303,289,289,14,269,20,203,52,48,0,0,28.20,39.95,55.09,0.00,0.00,383,153,211,0,0,289,172,117,264,289,91.35,94.67,622,35,657,7137.99,92.56,42.50,99.42,99.39,98.90,79.23,64.48,Denver County,Denver,CO,46,63,7,6,25.46,95,0.18,21,89,0.13,40,0.88,90,17,2.23,80,118,37.56,92,6,0.37,47,0.32,0.1663,8,64,0.28,87,17,5.41,77,high,107.27,371
80310003021,31,8,Colorado,0.0945,0.0000,39.7666780,-105.0416630,1038,1038,686,352,66.09,33.91,35.30,244,0,221,642,133,794,23.51,0.00,21.29,61.85,12.81,76.49,1038,880,0,0,141,0,0,17,0,84.78,0.00,0.00,13.58,0.00,0.00,1.64,26.000,71852,59497.00,62655400,563,0.00,2.49,61.99,35.52,0,0,0,0,0,0,0,14,0,56,254,39,32,20,93,55,2.04,100.00,4913.00,61.08,775,60.77,0.99,0,84,4,164,327,471,111,33,0,0.00,91.88,813,747,747,66,747,0,732100,1612,3.71,2.64,46.18,53.82,0.00,29.66,76.02,563,563,563,563,0,260,303,428,68,0,0,0,53.40,14.73,66.13,4.69,7.90,747,110,494,35,59,563,167,396,517,563,91.83,89.88,933,105,1038,10980.89,87.09,24.79,83.89,88.86,96.98,63.58,17.52,Denver County,Denver,CO,46,62,1,5,34.38,88,0.27,22,85,0.12,45,0.51,92,7,2.11,61,141,44.88,93,7,0.16,60,0.21,0.0726,7,68,0.27,88,22,7.00,84,high,127.96,427
80310003022,31,8,Colorado,0.0941,0.0000,39.7612140,-105.0416500,551,551,261,290,47.37,52.63,31.20,66,90,240,339,56,395,11.98,16.33,43.56,61.52,10.16,71.69,551,456,0,0,44,0,0,51,0,82.76,0.00,0.00,7.99,0.00,0.00,9.26,30.000,119313,81784.00,45151000,270,7.04,8.15,24.07,60.74,0,0,0,19,0,22,0,0,0,39,26,0,40,56,11,57,2.04,100.00,4913.00,63.16,485,77.32,0.96,0,0,0,8,218,375,57,88,12,14.73,93.24,488,455,455,33,388,67,605300,1895,5.25,3.76,48.89,51.11,0.00,32.22,60.00,270,270,270,270,0,132,138,162,0,66,0,0,20.80,22.28,68.75,0.00,2.17,368,82,253,0,8,270,87,183,251,270,92.96,100.00,534,0,534,5857.00,81.41,9.58,83.23,99.63,92.62,89.91,43.47,Denver County,Denver,CO,26,33,3,3,28.65,87,0.61,25,67,0.28,46,0.16,92,6,1.83,68,126,40.11,92,6,0.26,50,0.33,0.2696,10,72,0.51,92,18,5.73,79,high,116.18,399
80310003023,31,8,Colorado,0.1228,0.0000,39.7602900,-105.0486220,1371,1371,838,533,61.12,38.88,52.20,171,317,317,445,424,883,12.47,23.12,23.12,32.46,30.93,64.41,1371,1033,0,111,147,0,0,80,0,75.35,0.00,8.10,10.72,0.00,0.00,5.84,41.000,178750,115175.00,165014900,682,8.50,0.00,16.57,74.93,0,0,0,58,0,0,0,0,0,17,42,54,52,47,93,319,2.04,100.00,4913.00,56.98,1186,59.02,1.00,0,121,33,57,312,700,371,0,17,1.43,74.33,1227,912,912,315,899,13,695100,2302,6.47,3.97,88.12,11.88,7.96,36.36,78.54,741,741,682,682,59,601,81,582,33,105,0,0,20.10,54.17,42.27,0.00,1.89,899,487,380,0,17,682,248,434,595,682,87.24,99.05,1358,13,1371,11167.90,86.53,23.77,97.80,99.16,97.71,92.03,19.90,Denver County,Denver,CO,6,12,4,3,33.42,77,0.60,24,67,0.43,44,0.28,90,23,1.75,77,128,40.74,92,4,0.56,27,0.21,0.3296,9,68,0.56,95,14,4.46,71,high,116.82,419
